"sample","method","Si","Ti","Al","Fe","Mn","Mg","Ca","K","P","S","V","Cr","Ni","Cu","Zn","Rb","Sr","Y","Zr","Nb","Ba","Ce","Pb","Th"
"H036","pXRF",288972.31,3495.38,96597.16,29527.76,511.26,25680.99,69491.23,20090.92,617.73,394.68,101.15,98.64,68.75,18.23,66.22,125.35,340.62,17.06,127.6,14.31,530.32,79.63,19.93,8.91
"H037","pXRF",242652.08,3387.78,60143.82,35674.76,1220.89,11927.39,58779.42,19008.95,598.93,501.6,76,88.28,0,21.64,78.35,131.19,112.44,23.11,201.33,15.51,492.18,0,24.59,8.95
"H038","pXRF",295219.88,4461.7,99269.64,48312.43,3011.32,19017.3,6057.8,28959.08,712.08,149.18,116.57,157.56,65.67,23.58,103.25,163.17,112.81,30.03,243.19,20.01,519,0,32.99,9.6
"H039","pXRF",317076.47,4124.27,89809.01,44810.21,1087.06,17449.26,10494.39,27497.68,1068.24,102.9,115.64,137.41,0,17.46,103.07,162.95,109.78,29.45,237.5,19.96,440.79,0,30.25,9.88
"H040","pXRF",280914.09,4679.47,94657.07,46936.45,551.9,19835.63,8985.45,29830.9,630.56,64.42,113.47,135.07,34.84,18.48,116.22,177.28,120.17,29.4,255.1,22.1,357.64,0,28.29,9.43
"H041","pXRF",308362.16,4364.22,94149.78,42877.37,572.81,19508.99,6231.52,27338.62,513.22,101.52,116.69,137.74,76.56,18.52,102.67,156.33,108.83,28.38,227.65,20.08,531.62,0,47.95,10.65
"H042","pXRF",318334.22,3983.44,90841.58,35087.87,367.4,19165.13,6015.69,25885.29,449.58,0,108.12,127.41,35.98,17.28,84.82,142.22,99.27,24.27,203.06,18.02,413.73,0,23.46,8.42
"H043","pXRF",301902.72,4459.92,96543.78,47666.37,1114.62,20442.81,5512.38,27922.67,575.32,0,124.82,137.6,37.78,0,103.18,163.53,104.47,29.42,224.94,19.94,534.51,0,34.61,9.22
"H044","pXRF",269755.25,4390.56,79909.52,40430.18,480.63,10461.76,5571.08,26620.7,447.16,0,115.14,132.63,0,0,94.72,154.87,116.96,27.26,214.88,19.25,429.13,0,23.95,8.81
"H045","pXRF",230458.56,2557.88,62011.18,22891.15,663.57,25168.13,148163.61,11546.29,1841.13,276.16,52.2,84.47,44.03,0,55.95,126.09,285.69,17.24,180.78,10.75,595.6,0,3.6,5.64
"H046","pXRF",293263.06,4258.44,90598.01,46342.09,1449.59,20861.85,13403.78,29027.8,579.54,66.22,119.02,145.24,53.44,24.21,104.89,162.84,130.83,27.67,229.66,18.86,826.69,0,35.53,10.93
"H047","pXRF",250533.41,4165.93,97094.05,32974.38,451.06,16180.07,77735.34,22669.98,867.83,1429.87,115.63,154.41,0,12.56,84.36,133.53,633.05,18.16,150.42,15,641.76,0,21.71,7.32
"H048","pXRF",290140.47,4267.54,96738.55,39798.21,1377.19,22781.51,51218.59,25611.2,731.92,397.92,107,128.09,38.27,13.5,97.62,155.83,148.88,25.82,209.17,20.05,365.14,0,24.77,10.01
"H049","pXRF",252775.61,3866.92,76117.46,40764.27,2397.38,15348.37,18831.88,22860.95,1381.8,170.88,131.05,129.44,49.14,0,98.88,135.75,161.64,25.12,204.26,19.61,449.87,0,23.05,11.01
"H050","pXRF",294031.25,3939.32,85088.68,38370.22,581.17,12826.49,17955.1,26951.62,689.35,151.81,93.31,124.41,0,20.65,88.28,151.14,127.74,24.87,195.01,15.95,445.55,0,24.69,9.18
"H051","pXRF",258090.08,3492.98,66863.06,36076.69,1158.4,8875.45,20550.57,22876.51,543.59,111.74,99.07,109.18,0,20.83,81.46,132.91,132.42,23.41,188.67,15.71,676.02,0,23.06,6.88
"H052","pXRF",282152.28,3990.92,88680.46,40118.55,1741.83,14043.46,16322.47,23163.88,1291.16,85.75,125.12,148.33,42.06,13.26,89.42,132.16,173.68,22.6,189.53,17.12,534.81,0,22.5,10.56
"H053","pXRF",282588.72,3787.51,78449.23,36189.88,1015.54,13096.92,15286.91,22928.38,619.2,127.91,104.94,141.74,33.19,11.97,82.24,128.73,134.39,21.69,185.04,15.85,531.13,0,24.58,9.47
"H054","pXRF",288764.47,4191.86,86989.83,40453.34,940.98,14312.38,7619.05,23615.08,488.94,0,125.98,159.3,35.78,15.24,92.77,140.24,113.6,25.04,260.41,18.05,744.65,0,26.09,9.56
"H055","pXRF",235551.92,3615.97,78752,40187.75,947.36,22848.92,66906.07,23365.74,1820.27,814.49,126.02,147.61,52.28,24.42,92.12,125.56,276.08,20.87,151.73,14.36,677.28,0,21.68,6.88
"H056","pXRF",310912.38,8532.93,103949.22,43070,268.64,4173.03,4181.47,11644.66,527.69,161.09,158.6,190.41,79.85,29.94,88.36,108.07,67.36,26.32,305.62,34.7,311.57,0,36.45,10.02
"H057","pXRF",190548.42,1905.71,32359.88,16996.61,395.91,6988.72,108015.54,12831,1390.58,166.44,40.39,81.73,0,0,35.05,63.96,240.4,13.71,143.41,7.46,426.71,0,11.35,4.4
"H058","pXRF",286504.31,3406.42,64374.25,28662.24,178.11,8998.89,19331.91,18859.46,534.88,51.18,73.51,96.02,0,13.53,46.31,102.23,112.12,23.65,222.29,14.17,500.21,0,18.79,8.51
"H059","pXRF",254736.22,3125.55,69252.04,31164.47,550.25,22335.24,76179.56,17356.71,957.73,196.29,88.73,109.35,39.96,14.23,59.1,83.45,257.63,16.75,141.21,11.64,468.22,0,11.24,7.55
"H060","pXRF",183584.17,2769.83,46747.18,27530.47,546.62,8327.18,84086.74,17673.52,1049.39,117.64,100.86,130.99,0,24.2,69.66,91.63,267.85,15.21,92.6,12.02,249,0,10.47,5.75
"H061","pXRF",275248.84,2964.42,64769.96,37505.68,343.63,14223.77,52948.74,18357.06,837.64,139.8,77.97,114.61,0,0,42.77,90.42,147.06,18.04,191.95,12.71,435.64,0,15.81,5.01
"H062","pXRF",291322.41,6082.23,81494.05,40681.5,464.04,6087.47,7816.62,11991.69,426.79,112.66,119.14,119.91,26.74,18.81,57.88,93.48,79.44,29.65,309.9,18.58,478.83,0,24.82,7.59
"H064","pXRF",257404.8,4133.93,66831.41,43376.93,522.51,12031.58,44454.81,17221.33,549.23,166.58,109.56,142.05,0,18.05,69.06,106.82,190.21,23.86,212.69,19.15,445.99,0,22.45,8.76
"H066","pXRF",309579.88,3808.2,64491.62,30729.58,184.4,5802.15,17727.55,16025.89,421.24,180.68,70.71,93.63,0,0,76.42,100.34,98.43,24.5,281.65,15.06,404.25,0,23.66,8.45
"H068","pXRF",267813.66,3979.22,76325.24,38277.52,380.4,13511.15,30781.85,15397.64,704.6,111.87,96.84,92.46,42.55,0,62.01,104.2,153.41,25.7,239.91,17.12,705.67,0,21.07,10.83
"H069","pXRF",237959.08,4279.01,64147.58,38784.26,412.71,8467.57,49674.81,14526.8,615.99,234.38,113.04,180.15,0,0,57.17,96.27,200.12,22.46,219.88,15.86,571.7,0,19.74,7.55
"H070","pXRF",231040.31,3098.29,62122.58,33917.08,927.77,14454.97,78269.91,17260.64,944.93,153.75,89.81,164.93,43.19,21.52,65.17,96.54,253.48,18.43,131.95,12.84,634.57,0,15.03,5.17
"H071","pXRF",271676.53,3633.99,70691.61,34562.6,365.01,15184.82,33920.79,19601.57,842.36,41.9,91.76,91.57,0,0,61.54,111.44,129.64,23.8,253.5,14.47,677.02,0,20.63,8.05
"H073","pXRF",254887.89,3617.94,75393.15,37228.13,953.9,12397.47,85314.13,20030.96,807.23,219.92,101.11,169.72,43.82,0,75.31,110.41,274.47,19.02,152.41,14.98,566.31,0,19.04,7.38
"H074","pXRF",268582.94,4222.64,73622.5,29842.55,677.06,11016.51,6693.68,20994.61,994.92,0,78.19,111.15,42.56,0,96.97,123.76,95.11,27.07,301.09,14.94,839.28,0,18.03,7.56
"H075","pXRF",281813.09,3421.96,92066.78,22698.12,201.75,12422.12,13578.83,26527.82,1146.52,82.04,107.43,115.08,0,15.3,79.6,178.07,154.94,26.42,251.3,18.39,1174.19,0,20.57,17.01
"H076","pXRF",239787.86,3608.49,84152.11,35028.25,1069.58,23746.13,125638.6,22011.36,891.77,728.78,119.4,189.77,74.13,24.68,102.56,116.41,466.16,17.91,109.28,14.29,325.01,0,14.75,7.34
"H077","pXRF",284520.34,2918.83,86912.67,36816.05,853.82,10898.44,15102.2,15847.36,2234.09,28.04,94.15,126.2,58.42,0,52.53,129.81,187.87,21.89,217.26,24.4,1840.1,0,12.71,9.66
"H078","pXRF",246546.52,2035.3,55435.93,23547.16,870.88,6345.31,13257.63,14261.03,1605.87,38.75,47.51,66.7,0,0,42.31,104.19,138.96,14.02,213.53,16.32,1311.63,0,10.09,8.34
"H079","pXRF",249205.69,2881.38,67968.84,38607.8,2264.22,9068.98,5100.67,22143.76,1422.02,0,98.39,120.56,35.72,460.79,138.27,103.78,70.54,18.66,178.71,19.2,603.39,0,14.44,7.55
"H080","pXRF",191381.63,2346.19,55030.16,21763.47,750.57,12055.81,114933.06,18440.99,1445.35,205.54,65.11,86.42,0,0,48.56,80.54,204.26,13.31,150.63,8.84,329.92,0,11.18,3.49
"H081","pXRF",232786.08,3159.89,71810.39,29345.39,665.9,16882.7,100670.41,21003.91,1712.7,867.4,100.6,171.27,36.68,18,71.59,98.09,302.57,16.08,110.6,11.37,508.57,0,12.73,7.57
"H082","pXRF",320449.16,4541.74,114734.28,42959.11,1099.47,23365.18,4391.68,30292.12,605.67,0,118.56,136.06,59.75,26.58,106.07,176.51,110.58,27.99,233.51,20.46,451.2,0,26.26,10.06
"H083","pXRF",309217.59,4982.34,100145.57,24818.34,238.25,12416.16,24628.07,22274.66,547.09,98.27,114.64,99.36,35.98,21.74,81.89,141.45,177.99,23.09,192.08,17.67,455.91,0,24.18,12.36
"H084","pXRF",296492.69,4321.31,111814.16,46740.18,710.58,26233.17,15428.96,29476.23,962.21,222.45,111.31,139.49,62.34,21.67,107.25,168.69,120.46,27.71,229.63,19.21,411.29,0,24.62,11.61
"H085","pXRF",289065.94,5491.28,102241.55,32006.81,292.46,20209.21,17332.97,25518.04,437.97,48.2,113.34,94.98,29.01,11.99,99.24,161.53,164.17,29.06,228.53,21.86,315.59,0,26.95,13.47
"H086","pXRF",283164.19,3972.1,92302.36,45422.4,716.35,19382.96,15610.01,27292.48,1419.95,151.34,137.78,161.07,34.39,18.61,103.7,139.02,116.87,25.28,190.25,15.67,515.94,0,22.41,8.68
